user_loc,fr_loc,scaled_sci
USA01009,ARG16,8
USA01009,ARG17,9
USA01009,ARG18,10
USA01009,ARG19,14
USA01009,ARG2,10
USA01009,ARG20,7
USA01009,ARG21,8
USA01009,ARG22,8
USA01009,ARG23,6
USA01009,ARG24,7
USA01009,ARG3,7
USA01009,ARG4,11
USA01009,ARG5,7
USA01009,ARG6,15
USA01009,ARG7,8
USA01009,ARG8,10
USA01009,ARG9,10
USA01009,MEX1,126
USA01009,MEX10,136
USA01009,MEX11,3615
USA01009,MEX12,247
USA01009,MEX13,194
USA01009,MEX14,315
USA01009,MEX15,104
USA01009,MEX16,797
USA01009,MEX17,74
USA01009,MEX18,185
USA01009,MEX19,392
USA01009,MEX2,169
USA01009,MEX20,140
USA01009,MEX21,52
USA01009,MEX22,184
USA01009,MEX23,72
USA01009,MEX24,931
USA01009,MEX25,120
USA01009,MEX26,141
USA01009,MEX27,56
USA01009,MEX28,635
USA01009,MEX29,46
USA01009,MEX3,211
USA01009,MEX30,60
USA01009,MEX31,35
USA01009,MEX32,213
USA01009,MEX4,68
USA01009,MEX5,84
USA01009,MEX6,97
USA01009,MEX7,67
USA01009,MEX8,89
USA01009,MEX9,68
USA01011,ARG1,23
USA01011,ARG10,10
USA01011,ARG11,16
USA01011,ARG12,41
USA01011,ARG13,21
USA01011,ARG14,18
USA01011,ARG15,14
USA01011,ARG16,20
USA01011,ARG17,17
USA01011,ARG18,11
USA01011,ARG19,17
USA01011,ARG2,27
USA01011,ARG20,9
USA01011,ARG21,26
USA01011,ARG22,9
USA01011,ARG23,13
USA01011,ARG24,18
USA01011,ARG3,20
USA01011,ARG4,17
USA01011,ARG5,20
USA01011,ARG6,42
USA01011,ARG7,15
USA01011,ARG8,11
USA01011,ARG9,18
USA01011,MEX1,40
USA01011,MEX10,114
USA01011,MEX11,72
USA01011,MEX12,543
USA01011,MEX13,583
USA01011,MEX14,83
USA01011,MEX15,41
USA01011,MEX16,218
USA01011,MEX17,87
USA01011,MEX18,56
USA01011,MEX19,40
USA01011,MEX2,61
USA01011,MEX20,127
USA01011,MEX21,63
USA01011,MEX22,58
USA01011,MEX23,89
USA01011,MEX24,42
USA01011,MEX25,37
USA01011,MEX26,43
USA01011,MEX27,42
USA01011,MEX28,99
USA01011,MEX29,160
USA01011,MEX3,74
USA01011,MEX30,158
USA01011,MEX31,37
USA01011,MEX32,38
USA01011,MEX4,37
USA01011,MEX5,259
USA01011,MEX6,53
USA01011,MEX7,135
USA01011,MEX8,32
USA01011,MEX9,47
USA01013,ARG1,11
USA01013,ARG10,6
USA01013,ARG11,6
USA01013,ARG12,7
USA01013,ARG13,10
USA01013,ARG14,14
USA01013,ARG15,8
USA01013,ARG16,8
USA01013,ARG17,8
USA01013,ARG18,11
USA01013,ARG19,8
USA01013,ARG2,8
USA01013,ARG20,9
USA01013,ARG21,9
USA01013,ARG22,12
USA01013,ARG23,10
USA01013,ARG24,10
USA01013,ARG3,6
USA01013,ARG4,10
USA01013,ARG5,7
USA01013,ARG6,16
USA01013,ARG7,6
USA01013,ARG8,8
USA01013,ARG9,7
USA01013,MEX1,32
USA01013,MEX10,35
USA01013,MEX11,45
USA01013,MEX12,156
USA01013,MEX13,473
USA01013,MEX14,62
USA01013,MEX15,49
USA01013,MEX16,864
USA01013,MEX17,35
USA01013,MEX18,185
USA01013,MEX19,269
USA01013,MEX2,54
USA01013,MEX20,126
USA01013,MEX21,72
USA01013,MEX22,133
USA01013,MEX23,68
USA01013,MEX24,46
USA01013,MEX25,29
USA01013,MEX26,168
USA01013,MEX27,53
USA01013,MEX28,61
USA01013,MEX29,169
USA01013,MEX3,58
USA01013,MEX30,234
USA01013,MEX31,28
USA01013,MEX32,29
USA01013,MEX4,45
USA01013,MEX5,70
USA01013,MEX6,44
USA01013,MEX7,65
USA01013,MEX8,25
USA01013,MEX9,68
USA01015,ARG1,25
USA01015,ARG10,6
USA01015,ARG11,15
USA01015,ARG12,10
USA01015,ARG13,12
USA01015,ARG14,12
USA01015,ARG15,30
USA01015,ARG16,15
USA01015,ARG17,10
USA01015,ARG18,12
USA01015,ARG19,11
USA01015,ARG2,15
USA01015,ARG20,10
USA01015,ARG21,25
USA01015,ARG22,12
USA01015,ARG23,17
USA01015,ARG24,10
USA01015,ARG3,6
USA01015,ARG4,10
USA01015,ARG5,12
USA01015,ARG6,39
USA01015,ARG7,9
USA01015,ARG8,28
USA01015,ARG9,17
USA01015,MEX1,234
USA01015,MEX10,68
USA01015,MEX11,134
USA01015,MEX12,39
USA01015,MEX13,127
USA01015,MEX14,80
USA01015,MEX15,50
USA01015,MEX16,173
USA01015,MEX17,37
USA01015,MEX18,70
USA01015,MEX19,117
USA01015,MEX2,51
USA01015,MEX20,203
USA01015,MEX21,40
USA01015,MEX22,68
USA01015,MEX23,109
USA01015,MEX24,910
USA01015,MEX25,35
USA01015,MEX26,38
USA01015,MEX27,61
USA01015,MEX28,153
USA01015,MEX29,27
USA01015,MEX3,89
USA01015,MEX30,209
USA01015,MEX31,32
